#{"t_start": 1747715617.703586, "env_id": "CartPole-v1"}
r,l,t
16.0,16,0.647979
20.0,20,0.656944
18.0,18,0.665106
17.0,17,0.67232
39.0,39,0.686035
31.0,31,0.698264
33.0,33,0.709911
20.0,20,0.717347
13.0,13,0.722498
19.0,19,0.730917
26.0,26,0.740789
16.0,16,0.746819
33.0,33,0.760663
18.0,18,0.767469
15.0,15,0.774467
36.0,36,0.787795
18.0,18,0.794941
25.0,25,0.804168
13.0,13,0.809394
15.0,15,0.814977
69.0,69,0.842607
44.0,44,0.859443
52.0,52,0.880269
39.0,39,0.89529
36.0,36,0.911415
40.0,40,0.928309
28.0,28,0.938421
29.0,29,0.949783
58.0,58,0.971938
18.0,18,0.978
30.0,30,0.991039
76.0,76,1.018758
47.0,47,1.119854
55.0,55,1.143848
20.0,20,1.152455
78.0,78,1.184651
43.0,43,1.203239
23.0,23,1.212806
36.0,36,1.226111
22.0,22,1.233911
94.0,94,1.269671
39.0,39,1.284322
59.0,59,1.306237
45.0,45,1.326624
32.0,32,1.338079
27.0,27,1.347619
86.0,86,1.379865
54.0,54,1.399
73.0,73,1.427486
29.0,29,1.438421
60.0,60,1.460535
26.0,26,1.470635
56.0,56,1.49148
63.0,63,1.56478
62.0,62,1.587098
55.0,55,1.607084
28.0,28,1.617749
25.0,25,1.628025
17.0,17,1.634073
61.0,61,1.656299
39.0,39,1.67088
47.0,47,1.688666
67.0,67,1.713228
16.0,16,1.718935
79.0,79,1.75255
16.0,16,1.758274
46.0,46,1.774799
22.0,22,1.783449
98.0,98,1.818585
77.0,77,1.84891
88.0,88,1.880609
58.0,58,1.902356
97.0,97,2.176013
37.0,37,2.190543
154.0,154,2.246664
43.0,43,2.26201
101.0,101,2.300311
86.0,86,2.333227
137.0,137,2.386718
237.0,237,2.473256
142.0,142,2.527798
214.0,214,2.821454
136.0,136,2.874677
66.0,66,2.9029
53.0,53,2.92363
70.0,70,2.954744
105.0,105,2.998447
81.0,81,3.029439
132.0,132,3.077789
245.0,245,3.387132
133.0,133,3.438441
174.0,174,3.502609
261.0,261,3.604676
121.0,121,3.651823
126.0,126,3.698082
49.0,49,3.718143
129.0,129,3.862157
69.0,69,3.887905
44.0,44,3.90365
163.0,163,3.965557
205.0,205,4.044577
51.0,51,4.063358
178.0,178,4.130929
102.0,102,4.167963
83.0,83,4.200616
66.0,66,4.298697
65.0,65,4.322741
59.0,59,4.344628
62.0,62,4.36718
142.0,142,4.421302
139.0,139,4.472378
136.0,136,4.527251
97.0,97,4.562735
145.0,145,4.617236
196.0,196,4.835208
86.0,86,4.86661
129.0,129,4.915425
123.0,123,4.961705
419.0,419,5.128419
318.0,318,5.419973
214.0,214,5.500652
148.0,148,5.55789
225.0,225,5.643588
263.0,263,5.742607
206.0,206,6.105973
306.0,306,6.222244
306.0,306,6.33873
500.0,500,6.834431
500.0,500,7.027328
500.0,500,7.532933
500.0,500,7.725396
500.0,500,8.2098
247.0,247,8.305159
103.0,103,8.344216
61.0,61,8.366781
101.0,101,8.405141
119.0,119,8.450823
172.0,172,8.635404
112.0,112,8.677567
89.0,89,8.711017
43.0,43,8.728006
75.0,75,8.756958
35.0,35,8.769912
86.0,86,8.804188
